message,genre,related
un report leogane destroyed hospital st croix functioning need supply desperately,direct,1
gressier need assistance right away asap come help u,direct,1
delmas silo need water,direct,1
so so please provide police officer street insecure,direct,1
driver mechanic want help,direct,1
fort mercredi wednesday find tent treated water,direct,1
imcomprehensibley member repatriated incomprehensible location duvivier fond grango,direct,1
cold front cuba morning could cross haiti tomorrow isolated rain shower expected region,direct,1
please bo gravel vob ta hungry need food,direct,1
located one place want know lot available space put tent shelter reason station front house safety thief see,direct,1
want people know people port au prince came caphaitian food eat caphaitien north km port au prince,direct,1
one thing asking money tranfer office open get money sent u,direct,1
lycee philippe guerrier le cayes leave portauprince bad odor condition life capital need help please,direct,1
good evening please come quickly assist homeless victim village morin section taifer municipality kfou carrefour thank,direct,1
im haitian husband alive port au prince husband lost work pay family part usa im thereas house still remains house crushed making something,direct,1
people st suzanne portauprince student came didnt bring clothes wear old student soeur remembered thanks soeur ade,direct,1
road south central leogane road go sabouce end deslandes gps coordinate available,direct,1
lot people saintmarc park originally stmarc left portauprince tried escape tragedy anything please come help,direct,1
area near mountain hungry sick water please remember u,direct,1
id like know bus taking people le cayes free,direct,1
people dont food neither would need find hot plate food till,direct,1
help victim le cayes,direct,1
vehicules must bring back limbeense baslimbeense thanks helping note follow message sebastien,direct,1
im vice president association rafadek anse galets call could help people la gonave,direct,1
matisan medical problem lack water sm must coming area must received aid,direct,1
register name someone looking go www cicr org,direct,1
need food tentes corvers water money croix de mission route butte boyer churche mormon people pascale saint george,direct,1
there internet cafe nazon avenue marthin luther king blvd next orange market genie market,direct,1
dont know estaff touterene part end,direct,1
cyber cafe portaupriince broken come join saintmarc truncated,direct,1
asking please bring everything thats possible food clothse water money save people life people died house fell,direct,1
local inhabitant needing food shelter,direct,1
ir youth counting thanking contribution waiting response,direct,1
good mornin dange phone card finish help,direct,1
immaculate conception hospital le cayes complete adress rue duvivier thanks lot may god bless,direct,1
knowing adress cyber cafe working,direct,1
callin card done need call family port au prince cnt put,direct,1
hello thank every organization every institution civilian want help maryani victory road top hill trouble,direct,1
need food leogane th section citronniers,direct,1
clercine impasse cenor need aide nothing kid starving death need food medicine water please help u cannot take anymore,direct,1
hello death lost everything food please find way help u,direct,1
digil thank please add minute phone,direct,0
survivor pernier fatima family need food tent chothing medicine people broken bone dead,direct,1
im k carrefour bourry torbec rd need food water telephone card communicate,direct,1
received message hope want know get answer go rendezvous country helping,direct,1
made map find familly people,direct,1
sure st pierre st pierre school portauprince,direct,1
want thank digicel letting u send text message bois moquette upper petionville destroyed house need water food lost job lost people,direct,1
type way u going die hungry thank,direct,1
water house compromised cracked place sleep,direct,1
transportation call need help,direct,1
please need food water tent sleep please go look carrefour particularly area titus betem boten need food incomplete,direct,1
across peace hospital r waiting u,direct,1
people cite castro mais gate need aid food water tent much people area area airport area,direct,1
nam eo fthe population area living street becuase house demolish earthquake want,direct,1
good morning wrote message know found asking,direct,0
dont authorithies send help mariani,direct,1
need water anti biotics face mask tent lamentin rue cocteau carrefour,direct,1
thank good work,direct,0
relative people leaving capital migrating city plan know city overcrowded,direct,0
hello belok leogane hungry nothing area belok student association belok leogane,direct,1
need medicine hypertension tamponspads medicine thee baby,direct,1
please durinfg earthquake lost house injured need help student,direct,1
several people suffering dehydration water leyogan different route bary thursday,direct,1
earthquake also heklp u find tent water vitamin food medicine lamp sheet everything thanks everything,direct,1
hello cant receive call someone try reach there message saying number available please try fix problem,direct,0
thank disposition provide relief please family person would like granted tent thank advance note please call check location,direct,1
st martin street entrance mariella street need help house need water food thanks,direct,1
good night people refugee coix de bouquet duval would like benefit food kit tent thank understanding,direct,1
message received message recu mesaj ou ale beribhten inbox,direct,1
4636 minustah fm radio working fm fm,direct,0
delma local pinson great need food water,direct,1
cant call family cause minute calling card please help,direct,1
thats much archibishop gone priest seminarist dead training centre destroyed reason asking help complete rest school year wherever,direct,1
one item clothing please go help incomplete,direct,1
think necessary thing note call detail incomplete request,direct,1
country cannot function well house located km heavy truck pas house shake two small child wife mr,direct,1
please help end last message translated,direct,1
would love hear latest news haiti,direct,1
one station thanks advance,direct,1
need let family know starving need send money money transfer company openin area,direct,1
please need water food tent sleep please help u,direct,1
im hungry sending message location provided,direct,1
state please tell must,direct,1
mole st nicolas received alot people arrived without anything badly need humanitarian aid help refugee,direct,1
truncated probably need water shelter food please help u thank,direct,1
mother doesnt work child small ask please help mother work miami help u die dont,direct,1
need food water kid sick fever flu help cote rue richard,direct,1
location responsible shelter thanks advance,direct,1
voice america please pas message along u live gressier th section ti boukan dying hunger finished please pas message along u,direct,1
portauprince ive hit really hard mother life died received aid please help whichever way help unclear due character replacing european char,direct,1
help need help need food water security so going kill u,direct,1
saved earthquake god mercy lartibonite would like help family thank,direct,1
wrote didnt answer located carrefour maren there lot death victim need help,direct,1
im living gonaive dont anyone help see hope god thank,direct,1
send dont money,direct,0
there one send money,direct,1
pamisaven need help food water,direct,1
need job need food water tent think need psychologic help well,direct,1
good day happy desk accepted message student would like get job misery,direct,0
havent able find work people died cant find help u thank,direct,1
im agriculture technician live damemarie would like think,direct,1
mapou dampus leogane claudel desir field hungry go help leogane,direct,1
digicel im community baie de henne lot victim kapital need food water need underwear,direct,1
haut fontamara living street havent seen authority yet,direct,1
family thirteen people mother father eleven child need food aid water food bar soap oil financial help live rue chavannes prolonge,direct,1
survivor earthquake w dont courage stay portauprince forced go province near ponsonde noulagu,direct,1
u lot problem mother father,direct,1
good evening live turbe village livia house destroyed everything live yard neighborhood hasnt received aid help please help u,direct,1
father work destroyed many u house destitute catastrophe mom never worked please help u,direct,1
fokal building need water food tent sleep,direct,1
live cite soleil sleep street one helping,direct,1
would like info aid distribution bon repos along national righout outside pap,direct,1
im haitian doctor organization need medicine help people near house,direct,1
cant satisfy everyone dont forget im hopeless powerless,direct,0
people zone rue doctor obri givin u thanks service giving haitien population received water nite cant water witout food,direct,1
please come see u martissan go straight maniga street need place sleep lot child need food also,direct,1
like program information know give information thanks,direct,0
found country need help people suffering please write u tell u intention,direct,1
even moghav weve asked aid writinge regard would like know iti,direct,1
used live pap im montruis risk area friday jan,direct,0
family member men woman need help home collapsed,direct,1
need know quake rumor bigger one coming soon true,direct,1
earthquake survivor lost house belonging help,direct,1
child who father foreign country doesnt take care house food give,direct,1
gonaives zone kanal bwa send message,direct,1
necessity complex dont money right able get internet telling little tell respond bye,direct,1
need know someone military send family,direct,1
would like get info earthquake,direct,1
muche time earthquake stop pas level,direct,1
name young action croix de mission sollic,direct,0
addition time possible sleep house,direct,0
would like find information disaster,direct,1
want information aout earthquake,direct,1
hi dont place sleep community park santo peter field dont food something u please,direct,1
didnt tell whole family reason saved awasnt harmed street right im street child cant live like,direct,1
true people go senegal without visa,direct,0
need information radio battery translator interpertation could mean dont lot,direct,1
would like knwo find work,direct,0
hello please know someone canada dont id go canada,direct,0
eachivey open much time take,direct,1
id like information traveling united state please,direct,0
ca sleep house,direct,1
would like information response would like information response earthquake,direct,1
hello would like information please,direct,1
possibility reoccurrence another seismic event magnitude next day,direct,1
advised airdrop food kit rural house slum silent also hungry,direct,1
hello please would like know find care husband fractured hand foot cannot walk thankyou,direct,1
hi speak english possible would like know group need interpreter let know number,direct,1
many answersaftershocks,direct,1
hello think help sense business crashed house crashed didnt save anything street hungry,direct,1
student dominican republic passport due went renew delivered need go back school tell need,direct,0
find job earthquake finished finish dont find note available beside finished dont house rubble,direct,1
afs association woman without roof need expertise house roof fallen especially house lazarre street,direct,1
victim go get visa go santo domingo,direct,1
im sending message see,direct,0
would like hear earthquake listening thoman gantye,direct,1
student union belok leogane found till food population plea give an adress find food,direct,1
help u find food hunger killing u thank advance im couinting,direct,1
need information country thing today,direct,0
hello please passport expired good way go santo domingo,direct,0
money transfer office open croix de bouquet,direct,1
go home home damaged nothing,direct,1
committee bloc sama cbs delmas sent many messgaes help still havent recieved anything need food water medication know else ask,direct,1
please person need water food delmas rue costa,direct,1
food water please help th section leogane,direct,1
would like information country,direct,0
urgent please help u child olders dying starvation please come downtown leogane rue street danjour thank,direct,1
hello digicel delmas b muso village food water cant anmore help u please,direct,1
so so month old child difficulty caphaitien need diaper milk protein thank help,direct,1
need know money transfer office open,direct,0
would foreigner country,direct,1
information second earthquake,direct,1
would like know aftershock end,direct,1
want know name haitian artist died earthquake,direct,1
trye another aftershock stronger,direct,1
fault extend,direct,1
group woman democracy leogane totally collapsed need help urgently,direct,1
forgotten survivor carrefour sapotille survive,direct,1
stuck way countryside area gros morne need help,direct,1
concerning prisoner escaped heard marked stamped true,direct,1
please whole bunch people morne lazar museau delmas need water food medical help bout,direct,1
road oryol delmas there collapsed house lot people sector unlivable people sleep please help,direct,1
child leg broken please send food dont die,direct,1
need water food karaval pye batis solino thank,direct,1
writing authority help control economy either money im port de paix thanks im counting,direct,0
please help provide information event,direct,1
please put security relief worker every zone everyone receive aid thank waiting authority grand goave,direct,1
please digicel send card,direct,0
centre legliz de dye de la nouvel god word sice catastrophy receive anything dying hunger hunger killing u,direct,1
would like receive information protect potential earthquake please help,direct,1
would like information earthquake thank,direct,1
located rue jean charles fort national people need aid food water medication,direct,1
please help u dont food water u sick taking shelter close castera fontamara thank yoiu,direct,1
way save address rd entry stantoine area,direct,1
tree sleep reach carrefour find people road,direct,1
need help place maigate need tentes water also food please foward message u havent received anythign yet,direct,1
friend route dalle forgot u salle temoins jehovah,direct,1
good evening people boulevard octobre need,direct,1
dont mean live month old baby little bakery destroyed need find job,direct,1
need help need food water medical supply delmas publin av p philipe street,direct,1
ansavo station,direct,0
people need help go get help,direct,0
im gros morne need food clothes dear friend help love god,direct,1
people province barrell plan health hunger insecurity expensive life problem,direct,1
im university student state university studying nursing person used help died th january please need help,direct,1
give thanks god bu friend problem haitian problem im road cap haitien dont even water drink,direct,1
please come help u want live cant alone k foufey dont anything need anything stay alive,direct,1
please want know information going acrss country thanks,direct,1
need food lartibonite left eventearthquake port au prince didnt come anything remains port au prince,direct,1
chose go external city job create thing give,direct,0
need know there foreing hospital help wounded republican republic,direct,1
need address cyber coffee open,direct,1
hi whats need information marcel de pi marculacet fifth section cavaillon commune,direct,1
person worried become ruin house leave capital,direct,1
would like know many marine coming haiti,direct,1
baby diaper rubble along rubber nipplesbaby bottle greatly need strong hand,direct,1
american coming occupy,direct,0
condition bloody undergoing child delivery corner delmas rue marien,direct,1
greeting want help situation beauduy need help please emergency,direct,1
cabaret route nationale near church assemblue du st esprit need food water,direct,1
hello done find good answer,direct,1
need help delmas across kiskeya christian school tank u,direct,1
im area leogane gros morne section im stunner house destroyed help u save u please,direct,1
event discussed national people getting aid many people already died hunger thirst psychological health problem stress espcially little,direct,1
would like get information american embassy,direct,0
people dying hunger would like water,direct,1
family dy find someone go,direct,1
dont anyone please somethin,direct,1
ruelle larose nothing eat water tent sleep asking digicel help u thank counting,direct,1
need tent food guedon zone croisdesbouquets,direct,1
want know going start fix thing like road light electricity,direct,1
message send people trapped rubble,direct,1
need know who responsible distributing food petionville please,direct,1
authority since earthquake tieremasse street zone saintmichel people need food water,direct,1
people alive rubble know live carrefour across street local reeducation centre,direct,1
im unable family killed ive hit street please help,direct,1
croix de bouquet many u food eat please send help,direct,1
ajps sociocultural association solon e section saintlouis du sud commune groupe people came port au prince destitute,direct,1
help please dont mean speak writing youve forgotten im waiting,direct,1
help u digicel people mariani dying food clothes money people typhoid becoming sick please help u,direct,1
clothes flashlight radio solar panel plastic sheeting tarp mobile bathroom kitchecn ustensils gallon,direct,1
please held cold river house mother st theresa class rescued people,direct,1
im carrefour paloma franclklin street havent got help since th,direct,1
bos mason computer tech ironworker lost fortune may mean much could asset giving anything live,direct,1
repatriated village zone menelas sun burned sun ask help u please child,direct,1
cell hdo house broken ask get message passed please people responsible phone,direct,0
earthquake everywhere country,direct,1
find person end month,direct,1
dispair since morning waiting thought maybe could speak mother,direct,1
hello please need aid food water come help u centre dhebergement alliance alliance center shelter,direct,1
barbancourt roadrue barbancourt way airport,direct,0
would like know governement intends people lost passport,direct,1
good evening person want go france one proceed,direct,0
live pont rouge dont tent drinkable water many,direct,1
want know want western union office open please,direct,0
people thomazeau dont anything eat especially hatte cadete,direct,1
purified water leave croixdesbouquets meyer entrue rigaud next pshychiatry center,direct,1
capital one receiving aid place earthquake hit like,direct,1
urgent help carrefour mahotiere rue nelson prolong impass la paix,direct,1
people rubble people forced close street please something,direct,1
association need help neighbor dont know done,direct,1
please help would like go aunt ny,direct,1
im hungry need ity ami inner court taba kazo please pity u,direct,1
petit goave liberte avenue house shelter water food please help,direct,1
aid croixdesbouquets,direct,1
live martisan want know find clean water today since thusday havent found water im starving please help,direct,1
thank advice however water purification tablet,direct,0
dying hunger azil communal near pace la paix dont tent thank,direct,1
please send telephone number radio caraibes,direct,0
please reconnect phone internet chat got recently disconnected,direct,1
people ground right haiti helping area,direct,1
month pregnant would like know exactly take care situation like,direct,1
